innovate adj_创造性的_n_创新_v_创新
cyclical adv_周期性地_adj_循环的
dampen v_抑制
dazzle v_使赞叹
debacle n_惨败
decimated v_严重破坏_n_大量毁灭
decipher v_解密；_解释
deference n_敬意
defiance n_违抗，_挑衅
deficient adj_不足的_n_缺陷
defy v_反抗
denigrate v_诋毁，_贬低
denounce v_批评
discern v_识别；_看出
discernible adj_可辨别的
disciple n_信徒
discontinuity n_不连续
discretion n_谨慎
discriminate v_辨别_adj_有辨别能力的
disinterest n_不关心
disparate adj_不同的
dispassionate adj_不动感情的
disposition n_性情
disprove v_反驳
dissent n_反对意见
divergence n_背离
divergent adj_分歧的
divert v_转移；_改变
divisive adj_分裂的
drab adj_单调的
duplicate v_重复
efficacious adj_有效的
effortless adj_容易的_n_容易
elucidate v_说明_n_说明
enthusiastically adv_热情地
entice v_吸引_n_引诱
envision v_想象
epitomize v_代表
eradication n_消灭；_根除
erratic adj_不稳定的
esoteric adj_只有内行才懂的
evade v_逃避
evaluation n_评价
evasive adj_推托的，_回避的
exceptional adj_杰出的
excitement n_刺激
exemplify v_证明
experimentation n_实验
exploration n_探索
expressly adv_特别地，_专门地
extravagance n_挥霍，_浪费
facilitate v_促进，_帮助
falter v_动摇
feminist n_女权主义者
flawless adj_完美的
flexibility n_灵活性
follower n_拥护者
folly n_愚昧
foresee v_预见_adj_可预见的
foreshadow v_预示，_预兆
forestall v_阻止
frugal adj_节俭的_n_节俭
global adj_全球性的
harmless adj_无害的_adv_无恶意地
harmonious adj_友好和睦的，_和谐的
hesitant adj_犹豫的_adv_犹豫地
hitherto adv_到目前为止
honor v_尊敬
hormone n_激素
humanity n_人类
hyperbole n_夸张法_adj_夸张的
idealize v_使…理想化
imbue v_充满，_贯穿
impair v_削弱
impede v_阻碍
imperative adj_必要的；_迫切的
implicit adj_无保留的，_绝对的_adv_暗中，私下
improvise v_即兴创作；_即兴表演
impulse n_冲动，_欲望_adj_冲动的
inadvertent adj_由疏忽造成的
inappropriate adj_不合适的
incentive n_刺激；_动机
incomprehensible adj_无法理解的_n_不理解
incontrovertible adj_不容置疑的
indicator n_指示物
indirection n_间接_adv_间接地
ineffective adj_无效的
inept adj_无能的
ineptitude n_不适当；_笨拙；_愚昧的言行
ingenuous adj_坦率的；_正直的
innate adj_内在的，_固有的
innocence n_无罪
innocuous adj_无害的
inopportune adj_不合适的
insistence n_强调，_坚持
intact adj_完整的
intellect n_智慧，_智力
intention adj_有…企图的
interim adj_暂时的，_阶段性的
interplay n_相互影响
intervene v_介入
intolerant adj_偏执的_n_不容忍
intractable adj_难控制的
intransigent adj_不妥协的_n_不妥协，_不让步
intricacy n_复杂性
inventive adj_创造性的_n_创造力
irrefutable adj_无可辩驳的
jargon n_行话，_专业术语
jeopardy n_危险_v_危及
justifiable adj_有理由的_adv_有正当理由地
landscape n_风景
largesse n_慷慨
legislature n_立法机构
lengthy adj_冗长的
linger v_耽搁，_延迟
magnify v_夸大
mandatory adj_强制性的
mastery n_熟练
maturity n_成熟
mechanize v_机械化_n_机械化
metaphor n_隐喻_adj_比喻性的
methodical adj_有条不紊的
meticulous adj_一丝不苟的_n_谨小慎微
milestone n_里程碑
mimic v_模仿
misapprehension n_误解
mistrust n_不信任，_猜疑
moderation n_缓和；_适度
narrative n_叙述
nonexistent adj_不存在的
nostalgic adj_怀旧的_n_怀旧之情
notable adj_显著的，_著名的
novice n_新手
oblique adj_倾斜的_n_倾斜
obsequious adj_谄媚的
obstinacy n_顽固
offset v_抵消，_补偿
optimism n_乐观
originate v_产生
outdated adj_过时的
overwhelm v_压倒_adj_压倒性的
painstaking adj_辛苦的_adv_费力地
paradigm n_典范
parody n_拙劣的模仿
participation n_参与
partisan adj_偏袒的
passively adv_被动地
perceptive adj_敏锐的
perennial adj_长期存在的_adv_永久地
perfection n_完美
permanence n_永久
perpetuate v_使永存，_使不朽
persistent adj_坚持的，_固执的_n_坚持
persuasive adj_有说服力的
pessimism n_悲观主义
pointless adj_无意义的
polarity n_两极分化
popularity n_流行
predecessor n_前任；_被替代的事物
predetermined adj_预先决定的
preeminent adj_优秀的；_主导的
premature adj_仓促的_adv_提前地
presume v_假设
prey n_被掠食者_v_捕食
profundity n_深奥
prohibitive adj_（价格等）过高的
promotion n_升职
propensity n_倾向
proponent n_支持者
propriety n_适当；_得体
provincial adj_地方性的
publicize v_宣传；_使…公共化
puritan n_清教徒
quantitative adj_定量的
rationale n_基本原理
rationality n_理性
rationalization n_合理化
reconstruct v_重建
redundancy n_冗余
reformer n_改革者
regain v_恢复
relegate v_把…归类
relinquish v_放弃_n_放弃
remarkably adv_非常地
renaissance n_文艺复兴；_复兴
repress v_约束
repressive adj_压迫的
reverence n_尊敬
revive v_复苏
righteousness n_正义；_正直
rigorous adj_严谨的
salient adj_突出的
salvage v_抢救
sanction v_鼓励；_许可
scathing adj_尖刻的
scholarly adj_学者的；_学术的
scrutinize v_仔细查看
sensitivity n_敏感性
shortsighted adj_短视的，_目光短浅的_n_目光短浅
shrug v_耸肩（表示不理会或不在乎）
simplistic adj_过分简单化的
simultaneous adj_同时发生的_adv_同时地
specifically adv_特别地，_专门地
straightforward adj_坦率的
strive v_努力
subordinate n_下属
subside v_平息
subsidize v_资助；_补助
subtlety n_微妙
supremacy n_绝对权威
symbolize v_象征；_用符号表示
symmetry n_对称；_整齐
sympathetically adv_同情地，_富有同情心地
talented adj_有天赋的
temporal adj_暂时的
tentative adj_尝试性的；_暂时的
therapeutic adj_治疗的
traditionally adv_传统上，_通常
transition n_过渡
transitory adj_暂时的
trenchant adj_尖锐的
turmoil n_混乱
typically adv_通常
unalterable adj_不变的
unanticipated adj_意料之外的
unappreciated adj_不被欣赏的
uncommon adj_不寻常的
uncorrected adj_未改正的
undeniable adj_不容置疑的_adv_不可否认地
underestimate v_低估
unfeigned adj_真实的，_真诚的
unimpeachable adj_完全可靠的；_无可指责的
uninformative adj_不提供信息的
uninspired adj_缺乏创意的
universality n_普遍性，_一般性
unreasonable adj_无理的
unsuccessful adj_失败的
unwittingly adv_无意地
uphold v_支持
validity n_合理性
vapid adj_乏味的
veneration n_尊敬
verbal adj_用文字的
violation n_违背
virus n_病毒
warranted adj_合理的
willingness n_愿意
zoology n_动物学
aberrant adj_畸形的
aberration n_误差，_偏差
abridged adj_删节的
absolve v_宣告…无罪，_宽恕
abstruse adj_深奥的
abundance n_丰富
accede v_同意
accentuate v_强调
acclaim n_欢呼_v_欢呼
accountability n_有义务
accumulation n_累积
acquiescent adj_逆来顺受的
acrimony n_（语言、_态度等）刻薄
adaptable adj_可改编（或改写）的
adherence n_坚持
admirable adj_令人赞赏的
adoration n_喜欢，_关爱
adore v_崇拜
affectation n_装模作样，_做作
agricultural adj_农业的
alternate adj_代替的
amateur n_业余爱好者_adj_业余（爱好者）的
amid prep_在其中
amorphous adj_不明确的
analogous adj_类似的
anarchy n_混乱
anatomical adj_解剖（学）的
anomaly n_与众不同
antidote n_对抗手段
apathy n_冷漠
aphorism n_格言
appall v_使大为震惊；_使吓坏
appreciation n_欣赏
apprehensive adj_忧虑的
approbation n_认可；_赞许
approximation n_近似
aptitude n_资质；_才能
Arctic adj_北极的_n_北极地带，_北极圈
aria n_咏叹调
arrogant adj_傲慢的
artfulness n_狡猾
ascendancy n_优势
ascent n_上升
assail v_言语抨击
assault n_攻击
assertive adj_自信的_n_自信
assessment n_评估
assimilate v_吸收
astute adj_精明的
athletic adj_体育的，_运动的
attendant adj_伴随的
attest v_证明
audible adj_听得见的
austere adj_简朴的
authoritarian adj_独裁主义的
aversion n_憎恨
bacterial adj_细菌的
bankrupt adj_破产的；_没有前途的
beholder n_旁观者
benefactor n_资助人；_捐款人
benevolent adj_仁慈的
bereave v_使丧失
beset v_困扰
bespeak v_表明
"bibliographer" n_书志编纂家
bibliography n_文献目录；_参考文献
blatant adj_公然的_adv_公然地
blindness n_盲点
blunt adj_钝的，_迟钝的
breakthrough n_突破
brilliantly adv_出色地
buttress v_支持
bygone adj_过去的
bystander n_旁观者
calculable adj_可计算的
calculus n_微积分
catastrophe n_大灾难
categorical adj_绝对的_adv_明确地
cellular adj_细胞的
censorious adj_苛求的，_爱挑剔的
censorship n_审查
chaos n_混乱
characterization n_描述
charitable adj_宽容的
chivalrous adj_有骑士风度的
chuckle n_轻声笑
circumlocution n_婉转曲折的说法
cleanliness n_清洁
clergy n_神职人员
cleverly adv_聪明地
cleverness n_聪明
clinical adj_临床的
codification n_对……的整理、系统化
coincide v_一致
coincidence n_巧合
coincidental adj_巧合的_adv_一致的
colonial adj_殖民地的
combative adj_好斗的_n_好战
commend v_称赞
commensurate adj_相称的
commentary n_评论
commitment n_承诺
compatibility n_和谐共处
compendium n_提纲
compensation n_补偿；_报酬
complementary adj_互补的
completeness n_完整
composure n_镇静，_沉着
"comradeship" n_同伴之谊
concede v_承认
conceivable adj_可能的
conceive v_认为
conclusive adj_决定性的
conditional adj_有条件的
conducive adj_有益的
confer v_商讨
confound v_使…困惑
congruent adj_合适的
conjure v_制造假象，_变戏法
consciously adv_有意识地
conservatism n_保守主义
consistently adv_始终地
consolidation n_加强_v_合并；_统一；_巩固
consumerism n_消费主义
contiguous adj_邻近的
contravene v_违反
conventionalize v_使…照惯例
convoluted adj_费解的；_错综复杂的
cooperative adj_合作的
coordinate v_使…协调
correlate n_相关的事物_v_使…相互关联
correlation n_相关，_关联
cosmic adj_宇宙的
countenance v_支持，_赞同_n_表示支持或赞同的举止或表情
counterproductive adj_产生反面效果的
creatively adv_创造性地
culmination n_顶点
cumbersome adj_不方便的
currency n_流传
customary adj_惯例的_adv_通常
dabble v_涉足，_涉猎
debase v_贬低，_贬损
debatable adj_有争议的
debilitate v_使衰弱
deceptive adj_骗人的_adv_骗人地
decorum n_礼仪
dedicate v_致力于
definitive adj_明确的
degenerate v_衰退，_恶化_n_堕落的人_adj_衰退的，_堕落的_n_退步
deity n_神
delegate n_代表
democratically adv_民主地
demographic adj_人口统计学的
demonstratively adv_论证地
demur n_反对
denial n_否认
denotative adj_精确的
densely adv_密集地
depict v_描绘
deplore v_谴责
deploy v_部署
deprave v_使堕落；_使腐化_adj_堕落的
deprive v_失去
destructive adj_有害的
devastate v_毁坏
devotion n_热爱
diagnose v_诊断（疾病等）
didactic adj_教诲的
dimensional adj_维度的，_空间的
disappointment n_令人失望的人或事
disapprove v_不赞成_n_不赞成
discernment n_眼光；_洞察力
discontent n_不满_adj_不满的
discontinuous adj_不连续的
discourse n_演讲
discreet adj_不明显的
disengage v_解除；_释放
disillusion v_使…不再抱幻想
dismay v_使…失望
dismissal n_解雇
disorientation n_失去方向感
disparity n_不一致
disperse v_散布
dispirit v_使…沮丧
disquiet v_使…不安，_使…担心
dissatisfaction n_不满
dissolution n_废除
distortion n_扭曲
distract v_转移
disturbingly adv_令人不安地
diversion n_转移
"doctrinaire" adj_教条主义的，_空谈理论的
documentation n_文档，_文件制作及提供
dogmatism n_教条主义_n_教条主义者
domestication n_驯养，_培养
dominance n_优势
dormancy n_休眠
dormant adj_休眠的
downplay v_低估
dramatize v_使戏剧化
duckling n_小鸭子
duplicity n_不诚实
dysfunctional adj_功能不良
eccentric adj_异常的，_古怪的
eccentricity n_古怪的行为
ecosystem n_生态系统
edify v_启发
efficacy n_效果
efficiently adv_高效率地
eloquence n_（语言等的）说服力
eloquent adj_雄辩的；_动人的
elude v_使…困惑
elusive adj_难懂的
embarrassment n_尴尬，_难堪
embody v_体现
emergence n_出现
emotionally adv_感情上地
empirical adj_经验主义的
environmentalist n_环保主义者
epitome n_象征
equate v_使…相等
equilibrium n_平衡
equivocation n_含糊其辞
eradicate v_消灭
erode v_减少
escalate v_使…逐步升级_n_增长
espouse v_支持；_赞成
essentially adv_本质上
esteem v_尊敬
ethical adj_伦理的，_道德的
euphemism n_委婉语
inoffensive adj_无害的
euphemistic adj_委婉的
evanescent adj_短暂易逝的
evenhanded adj_公平的
evince v_表明
evoke v_唤起
evolutionary adj_进化的
exaggeration n_夸张
exalt v_赞美
exclusive adj_独有的，_排外的
exigency n_迫切需要
exonerate v_免除责任_n_免除
exorcise v_驱除
expediency n_权宜
extrapolate v_推测_n_推论
extravagant adj_浪费的
fabricate v_制造；_伪造
factual adj_真实的_adv_真实地
fairness n_公平
familial adj_家庭的
fanatical adj_狂热的
fanciful adj_异想天开的
fastidious adj_挑剔的；_苛求的；_难取悦的
favorite adj_喜爱的
feckless adj_不负责任的
fervent adj_热心的
fickle adj_变幻无常的
fictional adj_小说的
fictionalize v_把…编成小说
firefly n_萤火虫
fleeting adj_飞逝的；_短暂的
forbear v_忍耐；_阻止
formidable adj_难对付的，_强大的
forthright adj_坦率的
fortuitous adj_偶然的
fragmentary adj_零碎的；_不完整的
frankness n_坦白，_直率
fraud n_欺诈
frond n_蕨叶
fulsome adj_虚伪的
fusion n_融合，_结合
gambler n_赌徒
garrulous adj_多嘴的_n_多嘴多舌
generosity n_慷慨
geographical adj_地理的
glorify v_赞扬
governmental adj_政府的
grandiose adj_宏伟的
guffaw n_大笑
halfhearted adj_不热心的
hallmark n_特点
hamper v_妨碍；_阻止
harangue v_呵斥；_大声谴责；_慷慨激昂地劝说
harbinger n_预兆
hardheaded adj_冷静的
havoc n_混乱
herbicide n_除草剂
hereditary adj_遗传的
heretical adj_异端邪说的
hierarchy n_等级制度
hoard v_储存
homeopathic adj_顺势疗法的
hybridization n_杂交
idealistic adj_理想主义的，_空想的
idolize v_把…当偶像崇拜
illegitimate adj_不合逻辑的
immodestly adv_不谦虚地
impatience n_不耐烦
impediment n_障碍
impending adj_即将发生的
impenetrable adj_费解的，_非常难懂的
imperceptibly adv_察觉不到地
imperturbable adj_沉着的，_镇静的_n_冷静
implement v_实施
implementation n_执行
imprecision n_不精确
impropriety n_不恰当
impugn v_指责
inaccuracy n_错误
inactive adj_不活动的
incessant adj_无尽的
incidence n_发生（率）
incidental n_附带事件
incinerator n_焚烧场
incisiveness n_锐利；_果断
inclination n_倾向，_意愿
incompatibility n_不协调，_不一致
incompetent adj_无能力的_n_不能胜任
inconsiderable adj_微不足道的
incredible adj_惊人的
incur v_带来
indentured adj_受契约束缚的
inelegant adj_粗野的，_不雅的
inexhaustible adj_取之不尽的
inexplicable adj_无法解释的
infirm adj_虚弱的
inflexible adj_不可改变的
infusion n_注入，_灌输
ingrain v_使…根深蒂固
injustice n_不公正的行为
inquisitive adj_好奇的
insatiable adj_无法满足的_adv_不知足地
insecticide n_杀虫剂
insecurity n_不安全
instigate v_鼓动
institutional adj_惯例的_v_制度化
insular adj_狭隘的
intangible adj_难以形容的；_无形的
intellectually adv_理智地
intemperance n_无节制
interchangeable adj_可互换的
intertwine v_使…缠绕在一起
intervention n_介入
intrinsically adv_本质上
introspective adj_发人深省的_n_反省，_自省
intuit v_凭直觉知道
inure v_使习惯于（令人不快的事物）
invalidate v_无效
investor n_投资者
irrational adj_不合理的；_不理智的
irreconcilable adj_矛盾的
irregularly adv_不规则地
knowingly adv_故意地
knowledgeable adj_博学的_adv_聪明地
lackluster adj_平淡无味的
latent adj_潜在的
lavish adj_大方的_adv_丰富地
legislator n_立法者
legitimize v_使合法；_使得到认可
lethal adj_致命的
lethargic adj_冷淡的
lighthearted adj_心情愉快的
linguistics n_语言学_n_语言学家
loath adj_不乐意，_不情愿
lucid adj_清晰的
lucidity n_（思路、_表达）清晰
ludicrous adj_滑稽可笑的
luxuriant adj_奢华的
machinelike adj_机器般的
manageable adj_可控制的
manifestation n_表现
mar v_损毁，_玷污
mathematician n_数学家_adv_数学上的
meaningful adj_有意义的
measles n_麻疹
mediocrity n_平庸之人，_平庸之作
meditate v_计划_adj_沉思的
melodious adj_旋律美妙的
melodrama n_情节剧
memoir n_回忆录
metabolic adj_新陈代谢的
mighty n_有权势的人
miniature n_微结构
miserliness n_吝啬
misfortune n_不幸
misguide v_误导
misnomer n_误称
mitigate v_缓和_adj_缓和的
mobility n_流动性
modicum n_少量
mollify v_安慰
momentous adj_重要的
multifaceted adj_多层面的
myth n_神话
narrowly adv_严格地
negate v_否定，_否认
negligent adj_粗心的_n_疏忽
negotiate v_谈判_adj_可协商的
Neolithic adj_新石器时代的
neutrality n_中立
nobly adj_非常好的
nonplus v_使迷惑；_使困窘
norm n_规范
nuanced adj_有细微差别的
obligatory adj_义务的
observable adj_明显的
obsess v_使困扰
